USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.9  0.0  25300 15288 ?        Ss   10:43   0:01 /sbin/init splash threadirqs
root         476  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/3:4-events]
root         477  0.2  0.0  39156 13088 ?        Ss   10:43   0:00 /usr/lib/systemd/systemd-udevd
root         500  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/0:3]
root         506  0.0  0.0      0     0 ?        S    10:43   0:00 [psimon]
root         509  0.0  0.0      0     0 ?        S    10:43   0:00 [psimon]
root         568  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/56-ccp-1]
root         569  0.0  0.0      0     0 ?        S    10:43   0:00 [ccp-1-q2]
root         570  0.0  0.0      0     0 ?        S    10:43   0:00 [ccp-1-q3]
root         571  0.0  0.0      0     0 ?        S    10:43   0:00 [ccp-1-q4]
root         572  0.0  0.0      0     0 ?        S    10:43   0:00 [hwrng]
root         573  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/55-psp-1]
root         579  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/59-snd_hda_intel:card0]
root         580  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/60-snd_hda_intel:card1]
root         760  0.1  0.0   8388  4948 ?        Ss   10:43   0:00 /usr/sbin/haveged --Foreground --verbose=1
root         795  0.0  0.0 309616  7948 ?        Ssl  10:43   0:00 /usr/libexec/accounts-daemon
message+     798  0.5  0.0  11740  8224 ?        Ss   10:43   0:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
polkitd      800  0.3  0.0 387124 12068 ?        Ssl  10:43   0:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
root         802  0.0  0.0  10128  6200 ?        Ss   10:43   0:00 /usr/sbin/smartd -n
root         806  0.1  0.0  18264  9240 ?        Ss   10:43   0:00 /usr/lib/systemd/systemd-logind
